language,family,condition,group,trial,loss,delta_vs_baseline
malayalam,Dravidian,random_control,,6.0,1.8472002744674683,0.8626363277435303
malayalam,Dravidian,random_control,,7.0,1.1616673469543457,0.17710340023040771
malayalam,Dravidian,random_control,,8.0,1.0998889207839966,0.1153249740600586
malayalam,Dravidian,random_control,,9.0,1.2750029563903809,0.29043900966644287
kannada,Dravidian,baseline,,,1.1486268043518066,0.0
kannada,Dravidian,targeted,Indo-Aryan,,1.339645504951477,0.1910187005996704
kannada,Dravidian,targeted,Indo-European,,1.189026117324829,0.04039931297302246
kannada,Dravidian,targeted,Dravidian,,1.600321650505066,0.4516948461532593
kannada,Dravidian,random_control,,0.0,1.548905849456787,0.40027904510498047
kannada,Dravidian,random_control,,1.0,1.3866218328475952,0.23799502849578857
kannada,Dravidian,random_control,,2.0,1.9099915027618408,0.7613646984100342
kannada,Dravidian,random_control,,3.0,1.4001133441925049,0.25148653984069824
kannada,Dravidian,random_control,,4.0,1.5720115900039673,0.42338478565216064
kannada,Dravidian,random_control,,5.0,1.3250380754470825,0.17641127109527588
kannada,Dravidian,random_control,,6.0,2.036144256591797,0.8875174522399902
kannada,Dravidian,random_control,,7.0,1.3506731986999512,0.20204639434814453
kannada,Dravidian,random_control,,8.0,1.250005841255188,0.10137903690338135
kannada,Dravidian,random_control,,9.0,1.3463754653930664,0.19774866104125977
